date_str,true_smooth,fit_smooth,hour_idx,time_key,resolution_stride,resolution_label,variant,fit_type,smooth,n_valid_spectrum,est_sigmasq,est_range,est_nugget,k_bin,k_mid,k_mean,n_freq,data_k_max,data_spectrum,theory_spectrum_expected,theory_spectrum_scaled,theory_scale_to_data
20240703,0.3,0.5,3,y24m07day03_hm03:53,2,x2,nugget0,full,0.5,4166,9.9136,0.1215,0.0,39,45.25921142764778,45.263273002223634,0,42.96760578574156,,,1.1316561500348972,11111.91883816286
20240703,0.3,0.5,3,y24m07day03_hm03:53,2,x2,nugget0,full,0.5,4166,9.9136,0.1215,0.0,40,46.40501424860089,46.401623114899365,0,42.96760578574156,,,1.0528073050456968,11111.91883816286
20240703,0.3,0.5,3,y24m07day03_hm03:53,2,x2,nugget0,full,0.5,4166,9.9136,0.1215,0.0,41,47.550817069554,47.54209628556936,0,42.96760578574156,,,0.9809916417229034,11111.91883816286
20240703,0.3,0.5,3,y24m07day03_hm03:53,2,x2,nugget0,full,0.5,4166,9.9136,0.1215,0.0,42,48.69661989050711,48.704018109813944,0,42.96760578574156,,,0.9143070959270657,11111.91883816286
20240703,0.3,0.5,3,y24m07day03_hm03:53,2,x2,nugget0,full,0.5,4166,9.9136,0.1215,0.0,43,49.842422711460216,49.82798037973217,0,42.96760578574156,,,0.8554014736994291,11111.91883816286
20240703,0.3,0.5,3,y24m07day03_hm03:53,2,x2,nugget0,full,0.5,4166,9.9136,0.1215,0.0,44,50.988225532413324,50.984981939444005,0,42.96760578574156,,,0.7999298859177053,11111.91883816286
20240703,0.3,0.5,3,y24m07day03_hm03:53,2,x2,nugget0,full,0.5,4166,9.9136,0.1215,0.0,45,52.13402835336643,52.13691557001522,0,42.96760578574156,,,0.7492993376151482,11111.91883816286
20240703,0.3,0.5,3,y24m07day03_hm03:53,2,x2,nugget0,full,0.5,4166,9.9136,0.1215,0.0,46,53.27983117431954,53.23891056784509,0,42.96760578574156,,,0.7047652050885882,11111.91883816286
20240703,0.3,0.5,3,y24m07day03_hm03:53,2,x2,nugget0,full,0.5,4166,9.9136,0.1215,0.0,47,54.42563399527265,54.389296288586614,0,42.96760578574156,,,0.6619675045028669,11111.91883816286
20240703,0.3,0.5,3,y24m07day03_hm03:53,2,x2,nugget0,full,0.5,4166,9.9136,0.1215,0.0,48,55.571436816225756,55.55451364670018,0,42.96760578574156,,,0.622020160147256,11111.91883816286
20240703,0.3,0.5,3,y24m07day03_hm03:53,2,x2,nugget0,full,0.5,4166,9.9136,0.1215,0.0,49,56.717239637178864,56.703802024095104,0,42.96760578574156,,,0.5857081654978803,11111.91883816286
