dataset,day,direction,band_type,band_index,band_low,band_high,n_profiles,n_positions,rank,eigenvalue_fraction,ranked_periodogram_fraction
simulation,13,east_west,latitude_band,4,0.0,1.0,368,80,9,0.034751999268528434,0.03786594121282495
simulation,13,east_west,latitude_band,4,0.0,1.0,368,80,10,0.02891913260127016,0.024932813171057465
simulation,13,east_west,latitude_band,4,0.0,1.0,368,80,11,0.02597304833245334,0.024932813171057465
simulation,13,east_west,latitude_band,4,0.0,1.0,368,80,12,0.023542479684329952,0.019335897056685376
simulation,13,east_west,latitude_band,4,0.0,1.0,368,80,13,0.01941354797543941,0.019335897056685376
simulation,13,east_west,latitude_band,4,0.0,1.0,368,80,14,0.017556999902727785,0.016846105833510986
simulation,13,east_west,latitude_band,4,0.0,1.0,368,80,15,0.01593204549824165,0.016846105833510983
simulation,13,east_west,latitude_band,4,0.0,1.0,368,80,16,0.013997732516684886,0.01331723893996325
simulation,13,east_west,latitude_band,4,0.0,1.0,368,80,17,0.01324278605118692,0.01331723893996325
simulation,13,east_west,latitude_band,4,0.0,1.0,368,80,18,0.012256390806198855,0.010806834020002433
simulation,13,east_west,latitude_band,4,0.0,1.0,368,80,19,0.010950258735555817,0.010806834020002433
simulation,13,east_west,latitude_band,4,0.0,1.0,368,80,20,0.010100751983725691,0.009267431452448798
