dataset,direction,rank,eigenvalue_fraction_mean,eigenvalue_fraction_min,eigenvalue_fraction_max,periodogram_fraction_mean,periodogram_fraction_min,periodogram_fraction_max
real,north_south,13,0.018152519074583304,0.013047395422966544,0.02305508507992867,0.018553804130548333,0.013725729049919068,0.02666301184149756
real,north_south,14,0.01672243099023298,0.011869142715223041,0.022719526690517335,0.015535860961374869,0.010692542617105772,0.021208071879786836
real,north_south,15,0.015526936110397802,0.010747130350323944,0.020899513142831137,0.015535860961374865,0.010692542617105772,0.021208071879786832
real,north_south,16,0.01458630335392499,0.009273176874303828,0.017717353197471093,0.013969537269966902,0.009212679411074034,0.01851987270226118
real,north_south,17,0.013721216300421467,0.00925327375144939,0.017050693455831507,0.013969537269966898,0.009212679411074034,0.01851987270226118
real,north_south,18,0.012846508465365673,0.008772348410191358,0.016827807524841767,0.012306781540414076,0.00693876746297517,0.017118073750956364
real,north_south,19,0.01197653833027938,0.007237327520734915,0.015548223162355292,0.012306781540414076,0.006938767462975168,0.017118073750956364
real,north_south,20,0.010882531299597672,0.006505323514825038,0.013646821396514729,0.010123429719313534,0.006197968385627948,0.01320816423899536
real,north_south,21,0.010064697410059801,0.006250219216984373,0.013232264257034318,0.010123429719313532,0.006197968385627947,0.013208164238995358
real,north_south,22,0.009660859399351055,0.005940079945871831,0.012310422053338441,0.009184843066091082,0.005443927899891755,0.011171638445654716
real,north_south,23,0.009237264343950018,0.005583249005966832,0.011656227102683728,0.00918484306609108,0.005443927899891755,0.011171638445654714
real,north_south,24,0.008795374937278869,0.005420034354288909,0.010939558830373168,0.008470727696588801,0.0053568047722956326,0.010995394474124728
real,north_south,25,0.008313180323360774,0.004956985053515904,0.010904079207862544,0.0084707276965888,0.0053568047722956326,0.010995394474124726
real,north_south,26,0.007897080548843787,0.00421241845427431,0.01068665305742525,0.007659034111743698,0.0038574872040486588,0.01029163596621338
real,north_south,27,0.007606451973383525,0.003917218283780228,0.009706945369822454,0.007659034111743698,0.003857487204048658,0.010291635966213379
real,north_south,28,0.007224835296218624,0.0037663332816066063,0.00910206089197182,0.006812636969803737,0.0034981393831625914,0.008714571206070937
real,north_south,29,0.006891444866422571,0.003561503542791972,0.008957056322735225,0.006812636969803736,0.003498139383162591,0.008714571206070937
real,north_south,30,0.006652297272136217,0.003372294421214951,0.008492716032561675,0.006280217209077139,0.0030379369936407176,0.008391344293615693
real,north_south,31,0.0063184584133532855,0.003027850136857995,0.008491811429408644,0.006280217209077138,0.003037936993640717,0.008391344293615693
real,north_south,32,0.005989256709221926,0.002745507820698596,0.008248742209123692,0.005777051869566798,0.0027154759648886466,0.008080175677149212
real,north_south,33,0.005782617304103667,0.0026345296511708065,0.00823575936493351,0.005777051869566797,0.002715475964888646,0.008080175677149212
real,north_south,34,0.005560562827853833,0.002634500381146609,0.008213455046681894,0.00535475964484988,0.0026299392609367396,0.007956446035630668
real,north_south,35,0.005378409179696861,0.0026241414080548455,0.007910812227143208,0.00535475964484988,0.0026299392609367396,0.007956446035630668
real,north_south,36,0.005211256626225595,0.002401338134952134,0.007776224243150788,0.005020961739775784,0.00205824580553941,0.007683469186814231
real,north_south,37,0.005004473237109098,0.0021482946173646566,0.007727381485761976,0.005020961739775783,0.00205824580553941,0.007683469186814228
real,north_south,38,0.0048138054665030966,0.0020238379901031437,0.007613490076745505,0.004650448524857195,0.0018541658482568914,0.00766051733819536
real,north_south,39,0.004623968687296231,0.0018719390100880163,0.007349919408508219,0.004650448524857193,0.0018541658482568912,0.007660517338195358
real,north_south,40,0.00447915572838794,0.001733942946066393,0.0071339584217759225,0.004347037058053798,0.0016505748833345285,0.007209015502515988
real,north_south,41,0.0043385697254326285,0.001650527931693512,0.007077272371695499,0.004347037058053797,0.0016505748833345283,0.007209015502515988
real,north_south,42,0.004216640490690746,0.0016006996830265389,0.006981658376906135,0.004148598040933537,0.0016336934234744411,0.007009927742081475
real,north_south,43,0.004090291845850724,0.0015833849023104243,0.0065122748696536574,0.004148598040933537,0.0016336934234744411,0.0070099277420814735
real,north_south,44,0.003956853761175839,0.0014801315101871165,0.00586324885086186,0.003856972227585847,0.0013011940742362453,0.005871514874706845
real,north_south,45,0.003885367474397655,0.0014235752610320701,0.005812800360245955,0.0038569722275858466,0.0013011940742362453,0.005871514874706843
real,north_south,46,0.0037677673201615127,0.0014190707059212806,0.005664270593544773,0.003601218280688624,0.0013009868147443226,0.005176027351648156
real,north_south,47,0.0036107286716142695,0.0013080513917791085,0.005348339532349963,0.0036012182806886236,0.0013009868147443222,0.005176027351648156
real,north_south,48,0.0034929294591461092,0.00120305692274967,0.005322380370788311,0.0034122067977870544,0.0012867319967433486,0.00516086787734277
real,north_south,49,0.003396351753986593,0.0011627406678980936,0.0050434576103544565,0.003412206797787054,0.0012867319967433484,0.005160867877342769
real,north_south,50,0.0033079941394707274,0.0011252800718634692,0.004949562825234314,0.0032264997646245927,0.0011162941701844192,0.005017669079708113
real,north_south,51,0.0032142534194717887,0.0011001524650787447,0.004940843982937924,0.0032264997646245922,0.001116294170184419,0.005017669079708113
real,north_south,52,0.0031124987859797192,0.0010998740932989409,0.004566087479654187,0.0030557287721270907,0.0010411414620032072,0.004557416268773762
real,north_south,53,0.0030337742728581744,0.0010656310213067591,0.004238063119948131,0.0030557287721270903,0.0010411414620032072,0.00455741626877376
real,north_south,54,0.0029925137411694054,0.0009957372217641518,0.004235269659027056,0.002935689647411801,0.0009560960988694774,0.004411616464257558
real,north_south,55,0.0029012337691273907,0.0009784565240127838,0.0041729455462547315,0.002935689647411801,0.0009560960988694773,0.004411616464257557
real,north_south,56,0.0028335861658852265,0.0009681015452832596,0.00416148124593064,0.00280496042541649,0.0009283191259050245,0.004115774863832996
real,north_south,57,0.00278297283973912,0.000912737766705679,0.004156270810254011,0.0028049604254164894,0.0009283191259050243,0.004115774863832996
real,north_south,58,0.0027176141101172917,0.0008744515351790074,0.004030455504700481,0.002677370775394702,0.0009171865834198236,0.0040460083976214326
real,north_south,59,0.002679333692108232,0.0008581472087407135,0.004021478037181821,0.0026773707753947012,0.0009171865834198233,0.004046008397621432
real,north_south,60,0.0026303721911320826,0.0008330846256712029,0.003929860805184254,0.0025863696944886955,0.0008205641659680947,0.003907343164991403
real,north_south,61,0.0025795605164037993,0.0008245027189231897,0.003929400103292422,0.002586369694488695,0.0008205641659680947,0.003907343164991403
real,north_south,62,0.0025464329011388185,0.0008101487639123878,0.003892664272738032,0.002475179394673359,0.0007778522818775279,0.0038860664295538383
real,north_south,63,0.0024998603125474584,0.0008054606026356625,0.003887770598216784,0.002475179394673359,0.0007778522818775278,0.0038860664295538375
real,north_south,64,0.002461236949252829,0.0008045479073813681,0.00382241323567356,0.0024357399498884107,0.0007498388657602034,0.003748943411439896
