pair,time_start,time_end,null_variance,true_variance,variance_ratio,g_score
47,4,5,11.5872929488,12.3250035622,1.06366548396,0.000972268623822
48,4,5,12.1779673471,12.6246338576,1.03667824833,0.000328319423371
49,4,5,13.1743535027,13.026899187,0.98880747236,3.15538344387e-05
50,4,5,11.1116135567,12.3191695367,1.10867512391,0.00275470176737
1,5,6,11.48758664,12.2956117383,1.07033897751,0.00118178889802
2,5,6,11.5557223111,12.2214012542,1.05760600032,0.000799068347889
3,5,6,12.5371380203,12.6431722724,1.00845761225,1.77826059972e-05
4,5,6,11.8541665329,12.1384150705,1.02397878727,0.000141488211992
5,5,6,11.8643898079,12.3091189946,1.03748437078,0.000342731039655
6,5,6,11.8266792991,12.1672011648,1.02879268619,0.000203360391404
7,5,6,11.3413606623,12.4345360363,1.09638837936,0.0021834464376
8,5,6,11.4247494775,12.446611099,1.08944280341,0.00188821370136
9,5,6,11.2609124936,12.4461470083,1.10525208463,0.00258932239555
10,5,6,11.4624100744,12.2753261461,1.07092017006,0.0012009595657
11,5,6,11.8804342126,12.1518953513,1.02284942905,0.000128569296413
12,5,6,11.9012803293,12.143839898,1.02038096423,0.000102456161173
13,5,6,12.5291099437,12.7199069036,1.01522829321,5.73932940593e-05
14,5,6,10.7266832819,12.4182347991,1.15769567095,0.00563206604088
15,5,6,11.8426349836,12.1341975787,1.02461974007,0.000149090804641
16,5,6,11.6757819987,12.2364178193,1.04801698257,0.000558596029939
17,5,6,12.7553271709,12.4342502576,0.974828014285,0.00016111671697
18,5,6,12.2395294435,12.5565551352,1.02590178758,0.000164884509696
19,5,6,11.4651045109,12.274781716,1.07062100519,0.0011910731941
20,5,6,11.7215814423,12.2269201843,1.0431118228,0.000451719936191
21,5,6,11.6544174977,12.3602441981,1.06056301832,0.000881550923737
22,5,6,12.7196806496,12.4205003767,0.976478947773,0.000140517765502
23,5,6,11.4772869391,12.3029639633,1.07194008729,0.00123495746246
24,5,6,12.7695149211,12.4301525129,0.973424017259,0.000179762785027
25,5,6,11.8346865324,12.2983263264,1.03917634766,0.000373960843672
26,5,6,11.6573129573,12.2271782052,1.04888478588,0.000578647416768
27,5,6,11.4317404292,12.4480828032,1.08890530539,0.00186621039223
28,5,6,11.4416018165,12.2953658559,1.07461927561,0.00132641949207
29,5,6,11.8628392476,12.2829365877,1.03541288315,0.000306307531266
30,5,6,10.4024480868,12.2600753575,1.17857597128,0.00713453278825
31,5,6,12.387760698,12.781723617,1.03180259359,0.000247615054457
32,5,6,12.3462423736,12.583350183,1.01920485619,9.10428290335e-05
33,5,6,11.4853743885,12.29327172,1.07034140152,0.00118186854799
34,5,6,11.8046010656,12.1528337451,1.02949974146,0.000213372552939
35,5,6,11.8907319712,12.1467910052,1.02153433738,0.000114294002359
36,5,6,12.4732604957,12.7824065498,1.02478470278,0.000151079160397
37,5,6,11.6703017945,12.2034989106,1.04568837425,0.000506487180981
38,5,6,10.4389134379,12.2399366068,1.17252975414,0.00668307822931
39,5,6,11.4233397508,12.312380714,1.07782671115,0.00144000095489
40,5,6,11.6431310372,12.3598295439,1.06155547888,0.000910106739065
41,5,6,10.7330498194,12.4222696125,1.15738488329,0.00561091706919
42,5,6,11.6475305406,12.353606327,1.06062021335,0.000883184700332
43,5,6,11.6231219772,12.3451281391,1.06211809213,0.000926488814909
44,5,6,12.7585417508,12.4297819778,0.974232182692,0.000168902926232
45,5,6,10.2435783367,12.3037075007,1.20111420993,0.0089322878292
46,5,6,12.6773058622,12.5673438994,0.991326077958,1.89187099514e-05
47,5,6,11.6084362694,12.3852729137,1.06692000768,0.00107200377152
48,5,6,11.2034836427,12.2870338041,1.0967154678,0.00219784658345
49,5,6,12.9227768918,13.0396768334,1.00904603883,2.03351615418e-05
50,5,6,11.8805580612,12.1332196916,1.021266815,0.000111491413635
1,6,7,11.4604339204,12.223657755,1.06659641685,0.00106187854209
2,6,7,11.1045652154,12.3093366211,1.10849334326,0.00274579919094
3,6,7,11.4709939279,12.3935500877,1.08042512843,0.00153526365673
4,6,7,11.6467621078,12.3165867777,1.05751166408,0.000796501169807
5,6,7,11.7198702165,12.1710512184,1.03849709882,0.000361264057619
6,6,7,11.559464432,12.4813320278,1.07975002659,0.00151023455262
7,6,7,11.7035433684,12.0715147445,1.03144102299,0.000242073531171
8,6,7,11.6952029572,12.1440934634,1.03838244688,0.000359142030622
9,6,7,12.0330710494,12.6944253732,1.05496139108,0.00072861047707
10,6,7,11.4281924516,12.2172339161,1.06904341766,0.00113958561565
11,6,7,11.6124053855,12.472053071,1.07402839092,0.00130598021719
12,6,7,11.6610075085,12.3091671885,1.05558350594,0.000744902854256
13,6,7,12.5791341676,12.443782456,0.989239981878,2.91538164978e-05
14,6,7,12.6001606445,12.4429466758,0.987522859972,3.92465540363e-05
15,6,7,11.6300260199,12.287562932,1.05653787111,0.000770233928591
16,6,7,11.6740992972,12.1503030683,1.04079147855,0.000405008885645
17,6,7,11.6818912388,12.3070940885,1.05351897539,0.000691504764642
18,6,7,11.538830933,12.0049111087,1.0403923221,0.000397223646303
19,6,7,11.4711378492,12.2254504926,1.06575743865,0.00103584113923
20,6,7,11.5106966753,12.2595037018,1.06505314557,0.00101422285515
21,6,7,11.4277830758,12.3711533691,1.08255059508,0.00161533808692
22,6,7,11.6614249904,12.1396590706,1.04100991779,0.000409300513458
23,6,7,11.4637194321,12.235312106,1.06730735853,0.0010841845439
