iter,model,lag1_nbs,loss,overall_rmsre,spatial_rmsre,range_time_re,advec_rmsre,nugget_re,precompute_s,fit_s,gim_s,total_s,fit_iter,sigmasq_est,range_lat_est,range_lon_est,range_t_est,advec_lat_est,advec_lon_est,nugget_est
18,Lag1Nbs_05,5,1.402823,0.060942,0.050031,0.042891,0.086388,0.041503,0.097,6.611,0.0,6.708,1,10.821188,0.291897,0.397588,2.085782,0.077853,-0.110982,2.396242
18,Lag1Nbs_07,7,1.398774,0.080495,0.093555,0.071043,0.080996,0.030513,0.158,6.596,0.0,6.753,4,11.118297,0.326426,0.430964,2.142085,0.080268,-0.111573,2.423716
18,Lag1Nbs_09,9,1.419621,0.120959,0.109137,0.186445,0.121716,0.047883,0.109,10.346,0.0,10.455,4,11.302248,0.337325,0.422959,2.37289,0.09162,-0.114361,2.619708
18,Lag1Nbs_11,11,1.420047,0.07231,0.07429,0.101746,0.06958,0.002959,0.112,6.496,0.0,6.608,0,10.890569,0.317693,0.428699,2.203493,0.072209,-0.12422,2.492603
18,Lag1Nbs_13,13,1.40851,0.113652,0.106217,0.112712,0.145777,0.036946,0.114,10.965,0.0,11.079,1,11.590792,0.322544,0.421515,2.225425,0.068356,-0.107603,2.407636
18,Lag1Nbs_15,15,1.412332,0.110689,0.104171,0.146167,0.126162,0.003317,0.118,11.028,0.0,11.146,1,11.428392,0.326199,0.426908,2.292334,0.094002,-0.130363,2.508293
19,Lag1Nbs_03,3,1.399892,0.232085,0.191612,0.322004,0.283626,0.048226,0.097,5.019,0.0,5.116,1,7.920683,0.242476,0.330553,1.355992,0.069368,-0.078315,2.620564
19,Lag1Nbs_05,5,1.393938,0.190297,0.219474,0.290107,0.110942,0.014411,0.099,6.401,0.0,6.5,1,8.013681,0.227483,0.313633,1.419786,0.075494,-0.107549,2.536027
19,Lag1Nbs_07,7,1.432443,0.205744,0.174224,0.30842,0.232191,0.047992,0.16,5.264,0.0,5.423,0,7.892231,0.246799,0.350705,1.383161,0.056006,-0.109156,2.61998
19,Lag1Nbs_09,9,1.434566,0.18468,0.194177,0.263087,0.166188,0.034388,0.109,7.311,0.0,7.42,0,7.916242,0.234315,0.341002,1.473826,0.063872,-0.110778,2.58597
19,Lag1Nbs_11,11,1.390059,0.198928,0.229367,0.318733,0.084704,0.056895,0.112,9.325,0.0,9.438,1,7.538025,0.225155,0.325197,1.362533,0.071383,-0.119395,2.642237
19,Lag1Nbs_13,13,1.435803,0.18748,0.214726,0.299188,0.095213,0.008657,0.115,7.445,0.0,7.56,0,8.020529,0.226587,0.320748,1.401625,0.069409,-0.122905,2.521642
19,Lag1Nbs_15,15,1.429014,0.248271,0.244561,0.380725,0.229302,0.043911,0.117,8.519,0.0,8.636,0,7.404752,0.213675,0.331558,1.23855,0.079678,-0.085144,2.609777
