year,month,day_num,direction,model,rmse,mae,bias_emp_minus_fit,mean_model,normalized,sigma,range_lat,range_lon,range_time,nugget
2022,7,26,lon,Corridor_4x4_lag643,0.1719,0.1604,-0.1604,hour_dummy_plus_lat_lon_ols,True,9.4906,0.2250,0.2372,1.3418,1.5834
2022,7,26,lon,Debiased_Whittle,0.1639,0.1517,-0.1517,hour_dummy_plus_lat_lon_ols,True,9.0862,0.2319,0.2514,1.5268,1.4209
2022,7,26,lon,Vecchia_mm20,0.0960,0.0828,-0.0824,hour_dummy_plus_lat_lon_ols,True,9.8208,0.3295,0.4338,1.9178,2.1909
2022,7,27,lat,Corridor_4x4_lag643,0.0740,0.0674,-0.0295,hour_dummy_plus_lat_lon_ols,True,8.7649,0.2258,0.2513,1.5184,1.6469
2022,7,27,lat,Debiased_Whittle,0.0773,0.0697,-0.0319,hour_dummy_plus_lat_lon_ols,True,9.1775,0.2144,0.2447,1.6276,1.5060
2022,7,27,lat,Vecchia_mm20,0.0446,0.0320,0.0120,hour_dummy_plus_lat_lon_ols,True,10.0413,0.3401,0.4815,2.2943,2.3192
2022,7,27,lon,Corridor_4x4_lag643,0.1657,0.1514,-0.1514,hour_dummy_plus_lat_lon_ols,True,8.7649,0.2258,0.2513,1.5184,1.6469
2022,7,27,lon,Debiased_Whittle,0.1668,0.1514,-0.1514,hour_dummy_plus_lat_lon_ols,True,9.1775,0.2144,0.2447,1.6276,1.5060
2022,7,27,lon,Vecchia_mm20,0.0791,0.0680,-0.0611,hour_dummy_plus_lat_lon_ols,True,10.0413,0.3401,0.4815,2.2943,2.3192
2022,7,28,lat,Corridor_4x4_lag643,0.0757,0.0674,-0.0674,hour_dummy_plus_lat_lon_ols,True,6.5085,0.1628,0.1364,0.8641,1.7223
2022,7,28,lat,Debiased_Whittle,0.0942,0.0810,-0.0810,hour_dummy_plus_lat_lon_ols,True,6.3062,0.1361,0.1064,0.7437,1.5972
