year,model,day,sigma,range_lat,range_lon,range_time,advec_lat,advec_lon,nugget,loss,time
2023,Debiased_Whittle,2023-07-20,4.2359,0.0919,0.1272,0.8473,-0.0000,-0.0001,1.0365,-131119.7760,91.5157
2023,Vecchia_mm20,2023-07-20,7.0314,0.4150,0.6526,4.6767,0.0126,0.0058,2.4214,1.2106,63.5278
2023,Corridor_4x4_lag643,2023-07-21,6.0520,0.2113,0.2263,1.9816,0.0084,0.0008,1.5923,1.1138,36.3240
2023,Debiased_Whittle,2023-07-21,3.3971,0.0850,0.0866,1.0789,0.0000,0.0000,0.7883,-314658.8960,109.7846
2023,Vecchia_mm20,2023-07-21,8.2145,0.6382,0.7483,6.7308,0.0124,-0.0007,2.5023,1.2029,66.4202
2023,Corridor_4x4_lag643,2023-07-22,5.6487,0.1563,0.1528,1.5893,0.0029,-0.0017,1.2835,1.1166,31.9478
2023,Debiased_Whittle,2023-07-22,3.7636,0.1148,0.1001,1.4906,0.0000,-0.0000,0.9890,-292519.9360,100.5918
2023,Vecchia_mm20,2023-07-22,6.2772,0.3347,0.3513,3.4556,0.0043,-0.0089,1.9619,1.1846,53.3100
2023,Corridor_4x4_lag643,2023-07-23,7.5116,0.1938,0.2095,1.1840,0.0021,-0.0036,0.8949,1.0770,26.6250
2023,Debiased_Whittle,2023-07-23,6.1772,0.2063,0.2052,1.1417,0.0047,0.0666,0.6027,-468774.6240,77.5415
2023,Vecchia_mm20,2023-07-23,8.3519,0.3602,0.4184,2.0107,-0.0079,-0.0126,1.5623,1.1937,42.4358
2023,Corridor_4x4_lag643,2023-07-24,6.0809,0.1818,0.1833,1.6447,0.0033,0.0046,1.4074,1.1233,33.8543
2023,Debiased_Whittle,2023-07-24,3.6366,0.1029,0.0959,1.1829,0.0001,0.0002,0.9171,-283950.0160,95.7263
2023,Vecchia_mm20,2023-07-24,9.2805,0.4593,0.4443,3.8353,0.0081,-0.0053,2.1085,1.2464,46.6371
2023,Corridor_4x4_lag643,2023-07-25,5.7676,0.1715,0.1755,1.7393,0.0013,0.0103,1.5057,1.1346,36.9093
2023,Debiased_Whittle,2023-07-25,4.5002,0.1094,0.0979,0.8773,-0.0001,-0.0005,0.9831,-98554.0800,100.0901
2023,Vecchia_mm20,2023-07-25,6.7260,0.3827,0.4569,3.9471,0.0069,0.0062,2.2326,1.2087,55.8499
2023,Corridor_4x4_lag643,2023-07-26,5.6371,0.1554,0.1920,1.9128,0.0005,0.0089,1.5919,1.1412,36.2275
2023,Debiased_Whittle,2023-07-26,3.6204,0.0885,0.0945,1.2098,0.0001,0.0001,0.9638,-227959.8720,90.9271
2023,Vecchia_mm20,2023-07-26,6.1951,0.3397,0.3920,4.1022,-0.0022,0.0019,2.1429,1.1936,60.7064
2023,Corridor_4x4_lag643,2023-07-27,5.1284,0.1817,0.2287,2.2941,-0.0005,0.0054,1.8159,1.1220,38.1656
2023,Debiased_Whittle,2023-07-27,3.1348,0.1100,0.1113,1.3509,0.0001,0.0000,1.1887,-309088.4480,88.7148
