operator,reorthogonalization,lanczos_steps,band,rank_start,rank_end,exact_mode_count,estimated_mode_count,exact_energy_per_mode,matrix_free_energy_per_mode,energy_per_mode_error
subset_vecchia_precision,full,128,8,1121,1280,160,140.13203230771023,0.6011981425084357,0.7322169411732169,0.13101879866478117
subset_vecchia_precision,full,128,9,1281,1440,160,143.2811590276733,0.5762474599155141,0.4377650302092915,-0.1384824297062226
subset_vecchia_precision,full,128,10,1441,1600,160,179.50757801314603,0.7698279620220803,0.7560533398248868,-0.013774622197193498
subset_vecchia_precision,full,128,11,1601,1760,160,178.3072086810946,0.6694364108988026,0.6394588432131496,-0.02997756768565296
subset_vecchia_precision,full,128,12,1761,1920,160,141.9516397750815,0.8104029741884574,1.0159749852705429,0.20557201108208545
subset_vecchia_precision,full,128,13,1921,2080,160,179.1867855606215,0.9600021565611229,0.8223141340009116,-0.1376880225602113
subset_vecchia_precision,full,128,14,2081,2240,160,145.37017763691802,0.8709618134384215,0.8661938565646322,-0.004767956873789281
subset_vecchia_precision,full,128,15,2241,2400,160,144.0132550658459,0.9054938962146167,1.1491906455844478,0.2436967493698311
subset_vecchia_precision,full,128,16,2401,2560,160,160.98592292636113,1.063124239770636,0.8877929890043449,-0.17533125076629108
subset_vecchia_precision,full,128,17,2561,2720,160,155.85495921968777,1.0965673583759923,1.1030708103005944,0.0065034519246021105
subset_vecchia_precision,full,128,18,2721,2880,160,168.01344123229364,0.8078754768708194,0.8181789887534983,0.010303511882678862
subset_vecchia_precision,full,128,19,2881,3040,160,160.43554655774278,0.8380399681536602,0.840854363041514,0.002814394887853733
subset_vecchia_precision,full,128,20,3041,3200,160,164.48976289037864,1.1282201894557886,1.125159725446798,-0.0030604640089906265
subset_vecchia_precision,full,256,1,1,160,160,160.2942025179756,2.7226098961866256,2.727025716774939,0.004415820588313579
subset_vecchia_precision,full,256,2,161,320,160,155.86350072920854,1.1350882511757638,1.162828767639114,0.027740516463350184
subset_vecchia_precision,full,256,3,321,480,160,163.19454189478552,0.9738862293238988,0.951064575352652,-0.022821653971246803
subset_vecchia_precision,full,256,4,481,640,160,151.72020967089952,0.8831366410929213,0.9034447100591064,0.02030806896618509
subset_vecchia_precision,full,256,5,641,800,160,155.5156398937479,0.8105628619926002,0.9223068675607156,0.11174400556811537
subset_vecchia_precision,full,256,6,801,960,160,163.02922244597255,0.6918873757144552,0.645619479834932,-0.04626789587952329
subset_vecchia_precision,full,256,7,961,1120,160,176.23796259826952,0.6341013920702793,0.5649893361741338,-0.06911205589614544
subset_vecchia_precision,full,256,8,1121,1280,160,151.54540802441397,0.6011981425084357,0.6560901343874702,0.054891991879034485
subset_vecchia_precision,full,256,9,1281,1440,160,156.9959877163376,0.5762474599155141,0.5199969725457552,-0.056250487369758906
subset_vecchia_precision,full,256,10,1441,1600,160,175.9877483708176,0.7698279620220803,0.7410213019213738,-0.028806660100706427
subset_vecchia_precision,full,256,11,1601,1760,160,146.6205927803012,0.6694364108988026,0.6642184205648932,-0.00521799033390935
subset_vecchia_precision,full,256,12,1761,1920,160,165.7352279889801,0.8104029741884574,0.8097828703730281,-0.0006201038154293181
subset_vecchia_precision,full,256,13,1921,2080,160,155.62569737096146,0.9600021565611229,0.9631987905585555,0.0031966339974326408
subset_vecchia_precision,full,256,14,2081,2240,160,163.2902452907888,0.8709618134384215,0.8704810794032313,-0.0004807340351902223
subset_vecchia_precision,full,256,15,2241,2400,160,151.94653340476998,0.9054938962146167,0.9493212151209395,0.04382731890632274
subset_vecchia_precision,full,256,16,2401,2560,160,166.83692278917806,1.063124239770636,1.0296285572884043,-0.03349568248223167
subset_vecchia_precision,full,256,17,2561,2720,160,153.65140576032036,1.0965673583759923,1.179456175280516,0.08288881690452365
subset_vecchia_precision,full,256,18,2721,2880,160,159.78837739514438,0.8078754768708194,0.7593297059577626,-0.048545770913056785
subset_vecchia_precision,full,256,19,2881,3040,160,165.01079994554266,0.8380399681536602,0.8606694999517864,0.022629531798126212
